stmt_id,ckt_id
1,37064
2,37067
3,214638
4,137482
5,95564
6,91364
7,193009
8,152039
9,93516
10,319212
11,305769
12,69889
13,256967
14,131399
15,20238
16,320985
17,88045
18,96867
19,161545
20,72794
21,65318
22,165351
23,261210
24,215435
25,16747
26,285053
27,156856
28,20668
29,280903
30,114751
31,328865
32,54185
33,1936
34,52547
35,82431
36,26747
37,155040
38,99614
39,43063
40,154265
41,153338
42,106242
43,286589
44,164115
45,326643
46,135546
47,67724
48,77540
49,169980
50,167981
51,306525
52,309182
53,131655
54,261752
55,111210
56,237075
57,115846
58,217657
59,304294
60,36072
61,0
62,224784
63,326932
64,0
65,85823
66,110828
67,310572
68,108214
69,118150
70,215570
71,226512
72,245949
73,245623
74,75825
75,78425
76,280685
77,275666
78,230757
79,212136
80,297872
81,189521
82,117469
83,228720
84,149245
85,253773
86,148512
87,258204
88,5810
89,143561
90,60723
91,286996
92,63197
93,33730
94,189625
95,115510
96,174968
97,265494
98,274863
99,270605
100,234134
101,226043
102,34992
103,225463
104,188079
105,126615
106,4817
107,93607
108,237711
109,197427
110,280368
111,177642
112,18442
113,251211
114,33151
115,44595
116,271328
117,42291
118,57086
119,141220
120,122991
121,276771
122,126574
123,95045
124,250490
125,65194
126,61154
127,310982
128,156615
129,308210
130,0
131,242231
132,187416
133,328700
134,152702
135,41077
136,112589
137,141342
138,45589
139,0
140,179397
141,73590
142,195517
143,103201
144,188390
145,187755
146,248341
147,131503
148,213772
149,201854
150,94316
151,121351
152,218094
153,182053
154,224451
155,319781
156,257302
157,49300
158,181228
159,90980
160,237206
161,137518
162,180240
163,118328
164,70060
165,266775
166,279212
167,207550
168,36397
169,47699
170,176456
171,18513
172,89283
173,277048
174,95678
175,108364
176,70456
177,189676
178,22618
179,47951
180,206170
181,326352
182,142053
183,195747
184,214326
185,231173
186,305200
187,282015
188,270183
189,311454
190,323187
191,312448
192,120452
193,254262
194,64351
195,326989
196,109157
197,0
198,129832
199,161872
200,263401
201,208561
202,182780
203,283359
204,160470
205,56214
206,116177
207,115928
208,214115
209,160024
210,325512
211,28675
212,5176
213,223263
214,0
215,304007
216,13717
217,273530
218,23591
219,266756
220,0
221,147544
222,183772
223,263065
224,75249
225,0
226,277215
227,212232
228,180721
229,261096
230,294957
231,33617
232,225351
233,180212
234,0
235,198909
236,48747
237,70995
238,252195
239,259685
240,231769
241,321897
242,207634
243,291990
244,198848
245,78877
246,276237
247,326133
248,179306
249,138461
250,203648
251,197384
252,61935
253,90894
254,81907
255,130497
256,95284
257,164435
258,213187
259,316438
260,209594
261,304341
262,265616
263,295453
264,214902
265,19623
266,260577
267,14177
268,221594
269,211850
270,88015
271,0
272,5063
273,93969
274,78938
275,84758
276,119257
277,156893
278,180980
279,108716
280,192983
281,136133
282,174352
283,53030
284,47875
285,260180
286,320322
287,260818
288,275061
289,231654
290,290565
291,88009
292,23774
293,88837
294,162124
295,176950
296,0
297,98288
298,272407
299,229889
300,204910
301,69813
302,288137
303,232778
304,55944
305,81053
306,92417
307,157163
308,259249
309,301917
310,290057
311,258405
312,251003
313,116703
314,254613
315,42107
316,310067
317,326523
318,308831
319,218851
320,228408
321,32315
322,234052
323,207852
324,0
325,136306
326,190993
327,85684
328,209376
329,253850
330,1359
331,169342
332,156103
333,27061
334,0
335,325217
336,245721
337,42451
338,166531
339,222550
340,187523
341,0
342,218696
343,133696
344,241876
345,95211
346,275876
347,327121
348,315143
349,296944
350,266645
351,8447
352,111657
353,8658
354,279240
355,70257
356,277153
357,32009
358,172511
359,114645
360,147461
361,222134
362,52045
363,129932
364,0
365,24968
366,324113
367,124813
368,228532
369,87370
370,0
371,30884
372,291456
373,66603
374,234182
375,49593
376,1459
377,132053
378,41274
379,304835
380,28072
381,213802
382,22074
383,224478
384,234614
385,322304
386,60317
387,10895
388,162958
389,10210
390,106358
391,124343
392,275179
393,16581
394,249766
395,277411
396,325941
397,232851
398,285552
399,125549
400,133742
401,201144
402,0
403,236049
404,142537
405,77760
406,247284
407,172120
408,218266
409,69352
410,171295
411,130408
412,199245
413,316360
414,239163
415,306441
416,42976
417,94447
418,114093
419,141951
420,254762
421,137318
422,315273
423,89915
424,235008
425,74795
426,303329
427,265462
428,0
429,46874
430,200817
431,6052
432,35881
433,56382
434,213747
435,61287
436,179990
437,250350
438,78424
439,175752
440,298246
441,323913
442,177156
443,0
444,279542
445,271351
446,65774
447,15268
448,221092
449,266251
450,51235
451,245444
452,69820
453,120662
454,228639
455,97181
456,28433
457,108968
458,123554
459,90583
460,229660
461,87993
462,94496
463,196509
464,200737
465,50108
466,185830
467,60312
468,158204
469,157350
470,139401
471,0
472,226288
473,94631
474,316799
475,202729
476,142510
477,0
478,5282
479,262054
480,178951
481,295085
482,164370
483,182496
484,161219
485,96434
486,27218
487,159623
488,217189
489,63835
490,5665
491,56716
492,87460
493,289379
494,262208
495,212992
496,141552
497,223498
498,12481
499,0
500,70175
501,21066
502,313572
503,216072
504,182565
505,267079
506,106694
507,255572
508,198022
509,312397
510,174306
511,140921
512,254709
513,200192
514,125034
515,225866
516,36357
517,292461
518,105203
519,78373
520,99095
521,103531
522,80216
523,127728
524,328263
525,248674
526,317610
527,149186
528,242742
529,97072
530,325255
531,226106
532,102431
533,141170
534,35439
535,304836
536,207654
537,39626
538,0
539,82511
540,225717
541,80746
542,281812
543,30729
544,5856
545,324998
546,122708
547,0
548,176781
549,240445
550,70877
551,58925
552,251912
553,296691
554,191340
555,0
556,77980
557,118567
558,140438
559,237205
560,225666
561,21383
562,634
563,17963
564,87053
565,140069
566,118163
567,297388
568,218586
569,270368
570,317670
571,75521
572,243176
573,262640
574,7872
575,121286
576,95157
577,266041
578,217905
579,95307
580,151679
581,73587
582,68064
583,68825
584,115301
585,266516
586,316235
587,186225
588,174758
589,232054
590,198927
591,286378
592,181248
593,37194
594,303304
595,147030
596,120559
597,253920
598,292297
599,151686
600,141993
601,197115
602,300422
